date,report_id,report_name,status,log_date
17/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,21/03/2023 11:16:31
17/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,21/03/2023 11:16:32
17/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,21/03/2023 11:16:34
17/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,21/03/2023 11:16:34
17/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,21/03/2023 11:16:35
17/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,21/03/2023 11:16:37
20/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,21/03/2023 11:24:09
20/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,21/03/2023 11:24:10
20/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,21/03/2023 11:24:10
20/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,21/03/2023 11:24:12
18/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,21/03/2023 11:25:33
18/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,21/03/2023 11:25:33
18/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,21/03/2023 11:25:35
18/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,21/03/2023 11:25:36
18/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,21/03/2023 11:25:36
18/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,21/03/2023 11:25:38
20/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,22/03/2023 14:49:16
20/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,22/03/2023 14:49:17
20/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,22/03/2023 14:49:17
20/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,22/03/2023 14:49:17
20/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,22/03/2023 14:49:17
20/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,22/03/2023 14:49:17
21/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,22/03/2023 14:50:16
21/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,22/03/2023 14:50:17
21/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,22/03/2023 14:50:19
21/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,22/03/2023 14:50:20
21/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,22/03/2023 14:50:21
21/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,22/03/2023 14:50:23
22/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,23/03/2023 16:12:27
22/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,23/03/2023 16:12:27
22/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,23/03/2023 16:12:28
22/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,23/03/2023 16:12:29
22/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,23/03/2023 16:12:29
22/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,23/03/2023 16:12:31
23/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,24/03/2023 11:54:22
23/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,24/03/2023 11:54:24
23/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,24/03/2023 11:54:25
23/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,24/03/2023 11:54:25
23/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,24/03/2023 11:54:27
23/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,skipped,24/03/2023 12:51:43
23/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,24/03/2023 12:51:45
23/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,skipped,24/03/2023 12:51:45
23/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,skipped,24/03/2023 12:51:45
23/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,skipped,24/03/2023 12:51:45
23/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),skipped,24/03/2023 12:51:45
27/03/2023,1,Details of Post Offices having daily synch failure for more than 48 hours,success,28/03/2023 12:52:44
27/03/2023,2,Details of Post Offices not performded EOD in DPMS,success,28/03/2023 12:52:44
27/03/2023,3,Details of Bos for which  BO slips are not generated in CSI,success,28/03/2023 12:52:45
27/03/2023,4,Details of Post offices where both NSP 1 & 2 are down,success,28/03/2023 12:52:46
27/03/2023,23,Details of Post offices where both NSP 1 & 2 are down but ticket is not raised,success,28/03/2023 12:52:47
27/03/2023,5,Details of BOs which have not logged in Darpan during Office Hours(9AM - 2PM),success,28/03/2023 12:52:49
